top_k,dataset_key,dataset_label,dataset_short,method,qps_source_design,trace_design,qps,recall,power_w,total_energy_nj,energy_efficiency_qps_per_w,energy_efficiency_norm_to_cpu,config_ref,trace_table_ref,data_status
k10,t2i1m,T2I1M,T2I,NMP-FPMA,ndp_fpma,ndp_fpma,335757.9722233026,0.8986,9.49529759907868,28280185.087500002,35360.44749728337,2.059937090661023,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,t2i1m,T2I1M,T2I,NMP-FPSA,ndp_fpma,ndp_fpma,335757.9722233026,0.8986,9.403016658519872,28005341.4555,35707.47393274896,2.0801532552305,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,t2i1m,T2I1M,T2I,NMP-Base-ET,ndp_et,ndp_et,583899.4116483553,0.908,10.921419263191929,18704282.01385,53463.69346118327,3.1145489652777636,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,t2i1m,T2I1M,T2I,NMP-FPSA-ET,ndp_et,ndp_et,583899.4116483553,0.908,8.711881003104155,14920174.31309,67023.3456403163,3.9044719565635675,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,t2i1m,T2I1M,T2I,MFNNS,mfnns,mfnns,634329.6008322404,0.908,9.210212163466739,14519600.14381,68872.42004569391,4.012190529732698,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/mfnns.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_completion
k10,w2v1m,W2V1M,W2V,CPU,cpu,cpu,27105.89602706849,0.9184,2.7790875443867518,102527049.525,9753.523627500486,1.0,simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/cpu.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,historical_cpu_energy_estimate
k10,w2v1m,W2V1M,W2V,CAGRA,gpu_cagra,,269189.1417967638,0.9087999999999968,138.67176470588234,,1941.1964819781733,0.19902514784553194,,MFANNS/gpu_cagra/gpu_ada_6000,external_measurement
k10,w2v1m,W2V1M,W2V,BANG,bang,,27863.78,0.9319,64.51504273504273,,431.89586209272073,0.04428100844242295,,MFANNS/figure/evaluation/power/data/BANG.csv,external_measurement
k10,w2v1m,W2V1M,W2V,ANSMET,ansmet,ansmet,446316.7431820933,0.9181,11.055776466990135,24771144.3406,40369.55201786928,4.138971059038147,simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/ansmet.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,w2v1m,W2V1M,W2V,NMP-Base,ndp_base,ndp_base,305218.39520746074,0.9145,10.287204540199934,33704405.441250004,29669.711923656254,3.0419480237891876,simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/ndp_base.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
