source	dataset	paper_dataset	recall_tag	paper_metric	series	pdf_page_1based	pdf_page_0based	drawing_index	point_index	pdf_x	pdf_y	recall	log10_qps	qps	plot_default
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	17	16	361	7	137.2974090576172	108.28902435302734	0.9499973315148715	5.754896073259979	568716.8205314047	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	17	16	361	8	138.5750732421875	108.74866485595703	0.9599972859983614	5.728567713600815	535263.6036010162	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	17	16	361	9	139.85272216796875	111.5769271850586	0.9699971210551679	5.5665639142479915	368607.2850559067	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	17	16	361	10	141.13037109375	112.79805755615234	0.9799969561119743	5.496617163698457	313774.15139623097	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	17	16	361	11	142.4080352783203	114.78728485107422	0.9899969105954642	5.38267356793022	241364.59653649468	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	17	16	361	12	143.17462158203125	118.31046295166016	0.9959967877442113	5.180864763909943	151657.80427365267	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	17	16	361	13	143.43014526367188	119.7662124633789	0.9979967069848992	5.097478951576413	125163.86099121979	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-M	17	16	385	0	134.74209594726562	103.18376159667969	0.9299975419745754	6.047327208346915	1115134.3873633982	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-M	17	16	385	1	137.2974090576172	105.29493713378906	0.9499973315148715	5.926398377031219	844108.7011326356	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-M	17	16	385	2	138.5750732421875	106.36254119873047	0.9599972859983614	5.865245663951748	733239.1815066105	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-M	17	16	385	3	139.85272216796875	108.2784194946289	0.9699971210551679	5.7555035230479525	569512.8440644131	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-M	17	16	385	4	141.13037109375	110.13101196289062	0.9799969561119743	5.649386415231379	446052.9492624262	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-L	17	16	396	0	72.13693237304688	83.36907958984375	0.44000275795065813	7.182318731249662	15216638.780176003	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-L	17	16	396	1	93.85709381103516	87.06768798828125	0.6100009690431765	6.970461221887906	9342459.458032459	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-L	17	16	396	2	114.29959106445312	90.99502563476562	0.769999225652205	6.745502025732308	5565472.302227998	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-L	17	16	396	3	127.07615661621094	95.54377746582031	0.8699981733536865	6.48494802005842	3054555.496968778	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-L	17	16	396	4	133.46444702148438	99.47613525390625	0.9199977069177689	6.259701268535566	1818449.5993647277	1
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-L	17	16	396	5	134.74209594726562	101.90660095214844	0.9299975419745754	6.12048339144528	1319724.8410189745	1
