top_k,top_k_label,dataset_key,dataset_label,dataset_short,design,design_label,plot_included,qps,cpu_qps,qps_speedup_vs_cpu,recall,data_status,source,stats_ref,run_ref,note
k5,Recall@5,wiki1m,Wiki1M,WK,ndp_et,NMP-FPSA-ET,True,395237.5847228816,22087.687345693346,17.894022970220327,0.8802,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/wiki1m_normalized_ndp_et_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/34_wiki1m_normalized_ndp_et/slurm-9624199.out,
k5,Recall@5,wiki1m,Wiki1M,WK,mfnns,MFNNS,True,471115.0527737193,22087.687345693346,21.32930647741975,0.8802,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/wiki1m_normalized_mfnns_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/36_wiki1m_normalized_mfnns/slurm-9624201.out,
k5,Recall@5,pubmed,PubMed,PM,cpu,CPU,True,1232.065223118064,1232.065223118064,1.0,0.9004,measured,sim,MFANNS/simulator/memory/20260330/eight_config_k5_nq1000_failed_only_npq100_t48h/logs/pubmed_raw_cpu_stats.yml,MFANNS/simulator/memory/20260330/eight_config_k5_nq1000_failed_only_npq100_t48h/runs/formal_submit/04_pubmed_raw_cpu/slurm-9618281.out,
k5,Recall@5,pubmed,PubMed,PM,gpu_cagra,CAGRA,True,19160.722506972783,1232.065223118064,15.551711181719382,0.9095999999999971,external_measurement,gpu,,MFANNS/gpu_cagra/gpu_ada_6000,
k5,Recall@5,pubmed,PubMed,PM,bang,BANG,True,26315.79,19803.92,1.329,0.9232,external_measurement,BANG:tuning_004,,,uses supplied BANG speedup
k5,Recall@5,pubmed,PubMed,PM,ansmet,ANSMET,True,18620.782389879194,1232.065223118064,15.113471300451467,0.9008,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/pubmed_raw_ansmet_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/43_pubmed_raw_ansmet/slurm-9624210.out,
k5,Recall@5,pubmed,PubMed,PM,ndp_base,NMP-Base,True,16109.123524940416,1232.065223118064,13.074895080775072,0.8948,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/pubmed_raw_ndp_base_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/44_pubmed_raw_ndp_base/slurm-9624211.out,
k5,Recall@5,pubmed,PubMed,PM,ndp_fpma,NMP-FPMA/FPSA,True,16109.123524940416,1232.065223118064,13.074895080775072,0.8948,derived_copy_no_direct_test,sim;copied_from=ndp_base,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/pubmed_raw_ndp_base_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/44_pubmed_raw_ndp_base/slurm-9624211.out,copied_from=ndp_base
k5,Recall@5,pubmed,PubMed,PM,ndp_et,NMP-FPSA-ET,True,18450.355133588757,1232.065223118064,14.97514481164828,0.908,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/pubmed_raw_ndp_et_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/46_pubmed_raw_ndp_et/slurm-9624213.out,
k5,Recall@5,pubmed,PubMed,PM,mfnns,MFNNS,True,20769.173893646876,1232.065223118064,16.857203258351078,0.908,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/pubmed_raw_mfnns_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/48_pubmed_raw_mfnns/slurm-9624215.out,
k10,Recall@10,deep10m,Deep10M,DP,cpu,CPU,True,131633.6359480929,131633.6359480929,1.0,0.8758,measured,sim,MFANNS/simulator/memory/20260329/eight_config_k10_nq1000/logs/deep10m_normalized_cpu_stats.yml,MFANNS/simulator/memory/20260329/eight_config_k10_nq1000/runs/formal_submit/01_deep10m_normalized_cpu/slurm-9615110.out,
k10,Recall@10,deep10m,Deep10M,DP,gpu_cagra,CAGRA,True,599500.5293983769,131633.6359480929,4.554311100506089,0.908999999999996,external_measurement,gpu,,MFANNS/gpu_cagra/gpu_ada_6000,
k10,Recall@10,deep10m,Deep10M,DP,bang,BANG,True,55555.56,29437.23,1.887,0.9079,external_measurement,BANG:tuning_004,,,uses supplied BANG speedup
k10,Recall@10,deep10m,Deep10M,DP,ansmet,ANSMET,True,1762797.9128472712,131633.6359480929,13.391698103229446,0.8762,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/deep10m_normalized_ansmet_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/01_deep10m_normalized_ansmet/slurm-9624216.out,
k10,Recall@10,deep10m,Deep10M,DP,ndp_base,NMP-Base,True,1429850.634228122,131633.6359480929,10.862350066756152,0.874,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/deep10m_normalized_ndp_base_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/02_deep10m_normalized_ndp_base/slurm-9624217.out,
k10,Recall@10,deep10m,Deep10M,DP,ndp_fpma,NMP-FPMA/FPSA,True,1429850.634228122,131633.6359480929,10.862350066756152,0.874,derived_copy_no_direct_test,sim;copied_from=ndp_base,MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/deep10m_normalized_ndp_base_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/02_deep10m_normalized_ndp_base/slurm-9624217.out,copied_from=ndp_base
