dataset,dataset_label,recall_tag,recall_label,method,method_label,recall_raw,recall_2dp,qps,cycle,ef,lbq,data_status,config_ref
deep1b,DEEP1B,r10,Recall@10,mfnns,MFNNS,0.973000,0.97,52304.708928,4588497,200,200,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0200_lbq0200.yaml
deep1b,DEEP1B,r10,Recall@10,mfnns,MFNNS,0.984000,0.98,35712.308783,6720372,250,350,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0250_lbq0350.yaml
deep1b,DEEP1B,r10,Recall@10,mfnns,MFNNS,0.986000,0.99,28306.319669,8478672,300,420,verified_original_yaml_stats,ae/figure18/configs/deep1b/r10/mfnns/mfnns_ef0300_lbq0420.yaml
t2i1b,T2I1B,r100,Recall@100,cpu,CPU,0.501600,0.50,77196.559000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r100,Recall@100,cpu,CPU,0.605300,0.61,73915.648000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r100,Recall@100,cpu,CPU,0.679200,0.68,51243.233000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r100,Recall@100,cpu,CPU,0.785900,0.79,28949.773000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r100,Recall@100,cpu,CPU,0.838300,0.84,18082.588000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r100,Recall@100,cpu,CPU,0.924500,0.92,6279.223000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r100,Recall@100,cpu,CPU,0.955000,0.96,3217.164000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r100,Recall@100,cpu,CPU,0.969700,0.97,1591.392000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r100,Recall@100,bang,BANG,0.591599,0.59,26941.320000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r100,Recall@100,bang,BANG,0.623402,0.62,22514.120000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r100,Recall@100,bang,BANG,0.649914,0.65,21633.250000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r100,Recall@100,bang,BANG,0.672797,0.67,19429.230000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r100,Recall@100,bang,BANG,0.692803,0.69,17517.570000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r100,Recall@100,bang,BANG,0.710300,0.71,16155.360000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r100,Recall@100,bang,BANG,0.730400,0.73,14760.100000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r100,Recall@100,bang,BANG,0.747802,0.75,13467.910000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r100,Recall@100,ansmet,ANSMET,0.617000,0.62,128159.122366,1872672,40,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/ansmet/ansmet_ef0040_queue0100.yaml
t2i1b,T2I1B,r100,Recall@100,ansmet,ANSMET,0.710000,0.71,90559.305591,2650197,60,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/ansmet/ansmet_ef0060_queue0100.yaml
t2i1b,T2I1B,r100,Recall@100,ansmet,ANSMET,0.760000,0.76,68027.268731,3527997,80,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/ansmet/ansmet_ef0080_queue0100.yaml
t2i1b,T2I1B,r100,Recall@100,ansmet,ANSMET,0.800000,0.80,43239.760690,5550447,120,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/ansmet/ansmet_ef0120_queue0100.yaml
t2i1b,T2I1B,r100,Recall@100,ansmet,ANSMET,0.840000,0.84,32026.274355,7493847,150,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/ansmet/ansmet_ef0150_queue0100.yaml
t2i1b,T2I1B,r100,Recall@100,ansmet,ANSMET,0.870000,0.87,25134.911638,9548472,180,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/ansmet/ansmet_ef0180_queue0100.yaml
t2i1b,T2I1B,r100,Recall@100,ansmet,ANSMET,0.890000,0.89,16462.602421,14578497,250,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/ansmet/ansmet_ef0250_queue0100.yaml
t2i1b,T2I1B,r100,Recall@100,ansmet,ANSMET,0.920000,0.92,11123.046758,21576822,350,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/ansmet/ansmet_ef0350_queue0100.yaml
t2i1b,T2I1B,r100,Recall@100,ansmet,ANSMET,0.940000,0.94,7277.524485,32978247,500,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/ansmet/ansmet_ef0500_queue0100.yaml
t2i1b,T2I1B,r100,Recall@100,ansmet,ANSMET,0.958600,0.96,4280.885141,56063172,800,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/ansmet/ansmet_ef0800_queue0100.yaml
t2i1b,T2I1B,r100,Recall@100,ansmet,ANSMET,0.970000,0.97,3355.824489,71517447,1000,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/ansmet/ansmet_ef1000_queue0100.yaml
t2i1b,T2I1B,r100,Recall@100,mfnns,MFNNS,0.594000,0.59,207550.155792,1156347,40,300,reconstructed_from_same_panel_template,ae/figure18/configs/t2i1b/r100/mfnns/mfnns_ef0040_lbq0300.yaml
t2i1b,T2I1B,r100,Recall@100,mfnns,MFNNS,0.710000,0.71,126039.034289,1904172,60,400,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/mfnns/mfnns_ef0060_lbq0400.yaml
t2i1b,T2I1B,r100,Recall@100,mfnns,MFNNS,0.750000,0.75,90016.698097,2666172,80,400,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/mfnns/mfnns_ef0080_lbq0400.yaml
t2i1b,T2I1B,r100,Recall@100,mfnns,MFNNS,0.790000,0.79,62869.917426,3817406,100,600,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/mfnns/mfnns_ef0100_lbq0600.yaml
t2i1b,T2I1B,r100,Recall@100,mfnns,MFNNS,0.820000,0.82,45726.069976,5248647,130,700,reconstructed_from_same_panel_template,ae/figure18/configs/t2i1b/r100/mfnns/mfnns_ef0130_lbq0700.yaml
t2i1b,T2I1B,r100,Recall@100,mfnns,MFNNS,0.840000,0.84,38382.669457,6252822,150,800,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/mfnns/mfnns_ef0150_lbq0800.yaml
t2i1b,T2I1B,r100,Recall@100,mfnns,MFNNS,0.860000,0.86,28762.762577,8344122,200,800,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/mfnns/mfnns_ef0200_lbq0800.yaml
t2i1b,T2I1B,r100,Recall@100,mfnns,MFNNS,0.880000,0.88,23157.368211,10363872,250,800,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/mfnns/mfnns_ef0250_lbq0800.yaml
t2i1b,T2I1B,r100,Recall@100,mfnns,MFNNS,0.900000,0.90,16388.324630,14644572,350,1000,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/mfnns/mfnns_ef0350_lbq1000.yaml
t2i1b,T2I1B,r100,Recall@100,mfnns,MFNNS,0.912000,0.91,15560.950883,15423222,300,2000,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/mfnns/mfnns_ef0300_lbq2000.yaml
t2i1b,T2I1B,r100,Recall@100,mfnns,MFNNS,0.943000,0.94,9201.670011,26082222,500,2500,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r100/mfnns/mfnns_ef0500_lbq2500.yaml
t2i1b,T2I1B,r100,Recall@100,mfnns,MFNNS,0.950000,0.95,7238.706013,33155097,600,3500,reconstructed_from_same_panel_template,ae/figure18/configs/t2i1b/r100/mfnns/mfnns_ef0600_lbq3500.yaml
t2i1b,T2I1B,r100,Recall@100,mfnns,MFNNS,0.960000,0.96,5341.220892,44933547,800,4300,reconstructed_from_same_panel_template,ae/figure18/configs/t2i1b/r100/mfnns/mfnns_ef0800_lbq4300.yaml
